period,source_code,source_name,destination_code,destination_name,corridor,avg_cost_pct_200usd,avg_cost_pct_500usd,avg_fx_margin_200usd,avg_fx_margin_500usd,num_providers
2016_2Q,JPN,Japan,IND,India,JPNIND,14.663333333333334,7.068333333333334,1.9799999999999998,1.6441666666666668,24
2016_2Q,JPN,Japan,PHL,Philippines,JPNPHL,11.1075,5.980833333333333,1.908611111111111,1.8511111111111112,36
2016_2Q,JPN,Japan,THA,Thailand,JPNTHA,11.854,6.388,1.951,1.951,10
2016_2Q,JPN,Japan,VNM,Vietnam,JPNVNM,8.4625,4.528333333333333,1.0166666666666668,1.0166666666666668,12
2016_2Q,KEN,Kenya,RWA,Rwanda,KENRWA,10.76,5.515,1.28,1.28,10
2016_2Q,KEN,Kenya,SSD,South Sudan,KENSSD,10.715,5.470000000000001,1.28,1.28,10
2016_2Q,KEN,Kenya,TZA,Tanzania,KENTZA,10.254166666666666,5.53,1.3099999999999998,1.3099999999999998,12
2016_2Q,KEN,Kenya,UGA,Uganda,KENUGA,10.254166666666666,5.515000000000001,1.3099999999999998,1.3099999999999998,12
2016_2Q,KOR,"Korea, Rep.",CHN,China,KORCHN,5.872173913043478,3.3291304347826083,1.325217391304348,1.3234782608695652,23
2016_2Q,KOR,"Korea, Rep.",VNM,Vietnam,KORVNM,4.8714814814814815,2.6855555555555557,0.9614814814814815,0.9629629629629629,27
2016_2Q,KWT,Kuwait,BGD,Bangladesh,KWTBGD,1.9577777777777778,1.0933333333333333,0.43555555555555553,0.43555555555555553,9
2016_2Q,KWT,Kuwait,EGY,"Egypt, Arab Rep.",KWTEGY,2.777142857142857,1.91,1.247142857142857,1.247142857142857,7
2016_2Q,KWT,Kuwait,IND,India,KWTIND,2.5740000000000003,1.638,0.9259999999999999,0.9259999999999999,10
2016_2Q,KWT,Kuwait,JOR,Jordan,KWTJOR,7.67625,4.625,2.2912500000000002,2.2912500000000002,8
2016_2Q,KWT,Kuwait,PAK,Pakistan,KWTPAK,2.51125,1.42,0.58875,0.58875,8
2016_2Q,KWT,Kuwait,PHL,Philippines,KWTPHL,2.75,1.6170000000000002,0.75,0.75,10
2016_2Q,MYS,Malaysia,BGD,Bangladesh,MYSBGD,3.913157894736842,2.696666666666667,1.4352631578947368,1.535,19
2016_2Q,MYS,Malaysia,CHN,China,MYSCHN,7.194285714285714,4.654285714285714,2.3999999999999995,2.3999999999999995,7
2016_2Q,MYS,Malaysia,IDN,Indonesia,MYSIDN,6.072222222222222,4.926470588235294,3.8055555555555554,3.912941176470588,18
2016_2Q,MYS,Malaysia,IND,India,MYSIND,3.3354545454545454,2.413,1.580909090909091,1.6149999999999998,11
2016_2Q,MYS,Malaysia,MMR,Myanmar,MYSMMR,3.703333333333333,2.276,1.385,1.3599999999999999,6
2016_2Q,MYS,Malaysia,NPL,Nepal,MYSNPL,2.875,1.74,0.76875,0.7757142857142857,8
2016_2Q,MYS,Malaysia,PHL,Philippines,MYSPHL,4.232941176470589,2.86625,1.6894117647058824,1.7593750000000001,17
2016_2Q,MYS,Malaysia,THA,Thailand,MYSTHA,10.473333333333334,8.408333333333333,6.305,6.305,6
2016_2Q,MYS,Malaysia,VNM,Vietnam,MYSVNM,8.806666666666667,7.138333333333333,5.706666666666666,5.706666666666666,6
2016_2Q,NGA,Nigeria,BEN,Benin,NGABEN,22.955,12.045,-0.17,-0.17,2
2016_2Q,NGA,Nigeria,MLI,Mali,NGAMLI,23.125,12.215,0.0,0.0,2
2016_2Q,NGA,Nigeria,TGO,Togo,NGATGO,16.003333333333334,8.73,-0.11333333333333334,-0.11333333333333334,3
2016_2Q,NLD,Netherlands,GHA,Ghana,NLDGHA,7.919090909090909,5.718,2.3163636363636364,2.2,11
2016_2Q,NLD,Netherlands,IDN,Indonesia,NLDIDN,8.498571428571429,6.58,3.457142857142857,3.457142857142857,7
2016_2Q,NLD,Netherlands,NGA,Nigeria,NLDNGA,6.50125,4.24,1.2887499999999998,1.2887499999999998,8
2016_2Q,NLD,Netherlands,TUR,Turkey,NLDTUR,7.606999999999999,4.981,1.4740000000000002,1.479,10
