country_code,country,year,account_ownership_female_pct,account_ownership_male_pct,account_ownership_older_pct,account_ownership_outoflaborforce_pct,account_ownership_pct_15plus,account_ownership_richest60_pct,account_ownership_young_pct,account_ownership_poorest40_pct,account_at_formal_institution_pct,borrowers_at_commercial_banks_per1k,depositors_at_commercial_banks_per1k,saved_at_financial_institution_pct
KEN,Kenya,2017,77.7463652423197,85.8360953098291,84.1128946784081,91.5533745641974,81.5675646333189,88.9394904365755,76.0208923851573,70.4534812056124,,9.9491283,24.62016,26.78441
KEN,Kenya,2021,75.3574331684213,83.2449956430141,79.3409683723805,88.2125525319915,79.1951576168317,87.0200163106187,78.9132255360758,67.4495100489251,,,23.23094,21.45317
KEN,Kenya,2024,86.5155344015748,93.8895090496553,90.2583549265903,94.2597629382282,90.1199173733613,94.2665957730421,89.8479263836567,83.8761640610762,,,,
KOR,"Korea, Rep.",2011,93.1078212640244,92.9825305056482,96.4027948789799,93.255087192033,93.0468690333371,94.8462376449317,84.0877670311473,90.3472075047652,,0.48415559,12.09469,46.94206
KOR,"Korea, Rep.",2014,93.3800219621045,95.3912532961873,96.9373910404427,95.4615382776834,94.3608135378731,94.366210570158,86.0883208023568,94.3518327652261,,0.48782902,11.51376,52.71374
KOR,"Korea, Rep.",2017,94.6853096976853,95.017897318399,96.3916423536266,96.7956490313139,94.8510126919781,96.6521420530287,87.2897558772573,92.1491709735712,,0.35236143,11.6591,55.30604
KOR,"Korea, Rep.",2021,98.6826236627064,98.661083532974,98.6898615229853,99.2576755783009,98.6713470938187,99.8563595129945,98.5713020707667,96.8873922317071,,,10.19327,59.46635
KOR,"Korea, Rep.",2024,97.1396146066269,96.6472206696843,96.6967806003776,98.6856130151133,96.8949448884961,98.6932211942982,98.3620851900303,94.1886846132518,,,,
LKA,Sri Lanka,2011,67.2384213489121,69.9869884867952,68.4714793547106,76.4187642716538,68.5261646815342,74.7585639990558,68.7159055747569,59.1345855965433,,3.8157681,35.03069,28.09059
LKA,Sri Lanka,2014,83.1084370513634,82.2261167850048,81.9884566646781,91.3193655471355,82.6913822678001,85.3465588325621,85.1960186626415,78.6991790425862,,4.2342145,36.22636,30.85834
LKA,Sri Lanka,2017,73.4420706174106,73.8885926245093,72.9011316873123,85.3507647018097,73.6464607816492,75.6791779568018,76.6144989205749,70.5842200091925,,2.4984326,38.6281,28.78804
