country_code,year,financial_development_overall,financial_institutions,financial_markets,d_financial_development_overall,growth_financial_development_overall,d_financial_institutions,growth_financial_institutions,d_financial_markets,growth_financial_markets
Z7,2015,0.544964922607055,0.544964922607055,,-0.0031525249686916723,-0.005751550115098314,-0.0031525249686916723,-0.005751550115098314,,
Z7,2016,0.5410472414561437,0.5410472414561437,,-0.00391768115091129,-0.007188868472799204,-0.00391768115091129,-0.007188868472799204,,
Z7,2017,0.5142501694228814,0.5142501694228814,,-0.026797072033262315,-0.04952815573209879,-0.026797072033262315,-0.04952815573209879,,
Z7,2018,0.5082725169900659,0.5082725169900659,,-0.00597765243281545,-0.011624016457833952,-0.00597765243281545,-0.011624016457833952,,
Z7,2019,0.502734310520884,0.502734310520884,,-0.0055382064691819055,-0.010896135998024414,-0.0055382064691819055,-0.010896135998024414,,
Z7,2020,0.5504559425286364,0.5504559425286364,,0.04772163200775237,0.09492415975807944,0.04772163200775237,0.09492415975807944,,
Z7,2021,0.5193331751979476,0.5193331751979476,,-0.03112276733068875,-0.05653997881777728,-0.03112276733068875,-0.05653997881777728,,
Z7,2022,0.5010263631476384,0.5010263631476384,,-0.018306812050309262,-0.03525061160079268,-0.018306812050309262,-0.03525061160079268,,
Z7,2023,0.46886165121906,0.46886165121906,,-0.03216471192857839,-0.06419764366590897,-0.03216471192857839,-0.06419764366590897,,
ZA,1999,0.34985112091018056,0.34985112091018056,,,,,,,
ZA,2000,0.35424008785288796,0.35424008785288796,,0.004388966942707406,0.012545241905439486,0.004388966942707406,0.012545241905439486,,
ZA,2001,0.391000726175105,0.391000726175105,,0.03676063832221704,0.1037732305934933,0.03676063832221704,0.1037732305934933,,
ZA,2002,0.29346215086778293,0.29346215086778293,,-0.09753857530732207,-0.24945880858451552,-0.09753857530732207,-0.24945880858451552,,
ZA,2003,0.31649527225087526,0.31649527225087526,,0.023033121383092325,0.07848753685946264,0.023033121383092325,0.07848753685946264,,
ZA,2004,0.32700755612150023,0.32700755612150023,,0.010512283870624972,0.03321466319500743,0.010512283870624972,0.03321466319500743,,
ZA,2005,0.34429848776461847,0.34429848776461847,,0.017290931643118235,0.05287624496570875,0.017290931643118235,0.05287624496570875,,
ZA,2006,0.3853342586531112,0.3853342586531112,,0.04103577088849275,0.11918661378654405,0.04103577088849275,0.11918661378654405,,
ZA,2007,0.41205950285825166,0.41205950285825166,,0.02672524420514044,0.06935600353458127,0.02672524420514044,0.06935600353458127,,
ZA,2008,0.40727181405254176,0.40727181405254176,,-0.0047876888057099,-0.011618925840807148,-0.0047876888057099,-0.011618925840807148,,
ZA,2009,0.39194666159332275,0.39194666159332275,,-0.015325152459219005,-0.03762880693050352,-0.015325152459219005,-0.03762880693050352,,
ZA,2010,0.3704195970048965,0.3704195970048965,,-0.021527064588426237,-0.05492345438258217,-0.021527064588426237,-0.05492345438258217,,
ZA,2011,0.35960561117182466,0.35960561117182466,,-0.01081398583307186,-0.02919388153464486,-0.01081398583307186,-0.02919388153464486,,
ZA,2012,0.36658580782541156,0.36658580782541156,,0.006980196653586901,0.019410700046756713,0.006980196653586901,0.019410700046756713,,
ZA,2013,0.36038934154651026,0.36038934154651026,,-0.0061964662789013025,-0.016903181046911686,-0.0061964662789013025,-0.016903181046911686,,
ZA,2014,0.3614091080164996,0.3614091080164996,,0.0010197664699893583,0.002829624387927998,0.0010197664699893583,0.002829624387927998,,
ZA,2015,0.3659950589248576,0.3659950589248576,,0.004585950908358005,0.012689085046934334,0.004585950908358005,0.012689085046934334,,
ZA,2016,0.35711724696992336,0.35711724696992336,,-0.008877811954934256,-0.024256644286438145,-0.008877811954934256,-0.024256644286438145,,
ZA,2017,0.35177227610408374,0.35177227610408374,,-0.005344970865839627,-0.014966991684637887,-0.005344970865839627,-0.014966991684637887,,
ZA,2018,0.3497622781996005,0.3497622781996005,,-0.0020099979044832517,-0.005713917898090726,-0.0020099979044832517,-0.005713917898090726,,
ZA,2019,0.35257567067515555,0.35257567067515555,,0.0028133924755550654,0.008043727557005331,0.0028133924755550654,0.008043727557005331,,
ZA,2020,0.3625969291347641,0.3625969291347641,,0.01002125845960855,0.02842300048786295,0.01002125845960855,0.02842300048786295,,
ZA,2021,0.3390348851953482,0.3390348851953482,,-0.02356204393941591,-0.06498136648768682,-0.02356204393941591,-0.06498136648768682,,
ZA,2022,0.34155267609457995,0.34155267609457995,,0.0025177908992317644,0.007426347580075765,0.0025177908992317644,0.007426347580075765,,
ZA,2023,0.33670200503028286,0.33670200503028286,,-0.004850671064297096,-0.014201824209844283,-0.004850671064297096,-0.014201824209844283,,
ZF,1999,0.17599421661118583,0.17599421661118583,,,,,,,
ZF,2000,0.16736890767579157,0.16736890767579157,,-0.00862530893539426,-0.049009047578248977,-0.00862530893539426,-0.049009047578248977,,
ZF,2001,0.17538287014263548,0.17538287014263548,,0.00801396246684391,0.047882026465558836,0.00801396246684391,0.047882026465558836,,
ZF,2002,0.1325681977020242,0.1325681977020242,,-0.042814672440611296,-0.24412117560734958,-0.042814672440611296,-0.24412117560734958,,
